KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
lpsComfortableHome,Make yourself comfortable at home,Richte dich zu Hause gemütlich ein,Faites-vous plaisir à la maison.,Mettiti comodo nella tua base,Ponte cómodo en tu casa,Ponha-se confortável em casa,Sinta-se confortável em casa,Rozgość się w domu,Комфорт дома - в ваших руках,快適な居住空間を作ろう!,为你自己弄一个温馨舒适的家,好好佈置自己舒適的家,내 집처럼 편하게 지내십시오.,Evinizde rahatınıza bakın,Κάνε τον εαυτό σου άνετο στο σπίτι,Maak het jezelf gemakkelijk thuis,Hãy làm cho bản thân mình cảm thấy thoải mái như ở nhà
lpsDangerousCreatures,Be prepared to engage some creepy creatures,Sei bereit dich mit gruseligen Kreaturen auseinander zu setzen,Soyez prêts à vous confronter à des créatures épouvantables.,Preparati ad affrontare delle creature terrificanti...,Prepárate para enfrentarte a algunas criaturas espeluznantes,Esteja preparado para se cruzar com algumas criaturas assustadoras,Esteja preparado para enfrentar algumas criaturas arrepiantes,Przygotuj się na walkę z przerażającymi stworzeniami,Приготовьтесь встретить различных жутких существ,いつでもクリーチャーに対処できる用意をしておきましょう。,时刻准备好与令人毛骨悚然的生物作战,做好與一些恐怖生物戰鬥的準備,일부 오싹한 생물들과 조우할 준비를 하십시오.,Bazı ürpertici yaratıklarla karşılaşmaya hazır olun,Να είσαι προετοιμασμένος να συναντήσεις κάποια ανατριχιαστικά πλάσματα,Wees voorbereid om het gevecht aan te gaan met enge wezens,
lpsDrillModule,Use your drill module for mining on a planet,Verwende das Drillmodul um Rohstoffe auf Planeten zu fördern,Utilisez le module de forage pour miner les planètes.,Utilizza il tuo Modulo di Scavo per estrarre minerali sui pianeti,Usa tu módulo de perforación para minar en un planeta,Utilize o modo de perfuração para mineração num planeta,Use o modo de perfuração para minerar em um planeta,Użyj modułu wiertniczego do wydobycia na planecie,Используйте ваш буровой модуль для добычи руды на планете,惑星で採掘モジュールを使用してみましょう。,使用你的开采模块在星球上采矿,使用鑽機模組在星球上採礦,행성에서 광산을 채굴하는 드릴 모듈을 사용하십시오.,Bir gezegende madencilik yapmak için sondaj modülünü kullanın,Χρησιμοποίησε την λειτουργία τρυπανιού για να εξορύξεις μεταλλεύματα σε έναν πλανήτη,Gebruik je boormodule voor op een planeet te mijnen,
lpsDropship,Use a dropship to deploy troops on a planet,Verwende einen Transporter um deine Leute auf Planeten abzusetzen,Utilisez un vaisseau de transport pour déployer vos troupes sur les planètes.,Utilizza un Vascello da trasporto per schierare truppe sui pianeti,Usa una nave de desembarco para desplegar tropas en un planeta,Utilize uma transportadora para implantar tropas num planeta,Use uma nave de transporte para deixar tropas em um planeta,Użyj tranportowca do rozmieszczania oddziałów na planecie,Используйте челноки для высадки войск на планету,ドロップシップは増援を投入してくる。,利用运输舰在星球上部署军队,使用空投飛船在星球上部署軍隊,행성에 군대를 배치하는 드롭쉽을 사용하십시오.,Bir gezegende asker konuşlandırmak için nakliye gemisi kullanın,Χρησιμοποίησε ένα dropship για να αναπτύξεις στρατεύματα σε έναν πλανήτη,Gebruik een dropship om troepen op een planeet te plaatsen,
lpsEdiblePlants,Find out which plants are edible,"Finde heraus, welche Pflanzen essbar sind",Trouvez quelles plantes sont comestibles.,Dovrai scoprire da solo quali sono le piante commestibili,Averigua qué plantas son comestibles,Descubra quais as plantas comestíveis,Descubra quais plantas são comestíveis,Sprawdź które rośliny są jadalne,Ищите съедобные растения,食料の確保は重要です。,找出那些可以食用的植物,搞清楚可以食用的植物,어떤 식물이 식용인지 알아보십시오.,Hangi bitkilerin yenilebilir olduğunu öğrenin,Μάθε ποια φυτά Τρώγονται,Ontdek welke planten eetbaar zijn,Hãy tìm hiểu các loài thực vật có thể ăn được
lpsErestrumOnIce,Snow planets are the home of the dangerous Ice Golems,Eisplaneten sind die Heimat der gefährlichen Eisgolems,Les planètes glelées hébergent de dangereux Golems de glace.,I Pianeti Ghiacciati sono la casa dei pericolosi Golem di Ghiaccio,Los planetas de nieve son el hogar de los peligrosos Gólems de Hielo,Planetas de gelo são morada dos perigosos Golems de Gelo,Planetas gelados são a casa de perigosos Golens de Gelo,Mroźne planety są domem niebezpiecznych Golemów Lodowych,Ледяные планеты являются обиталищем опасных Ледяных Големов.,ネオジウム鉱石は氷の惑星上に存在するクリーチャーが所持ている可能性もあります。,冰原星球是那些危险的冰傀儡的大本营,冰凍星球是危險的寒冰巨像的故鄉,얼음 행성은 위험한 아이스 골렘의 고향입니다.,Karlı gezegenler tehlikeli Buz Golemlerine ev sahipliği yapar,Κάποιοι πλανήτες φιλοξενούν επικίνδυνα Golem πάγου,Op sneeuwplaneten voelen de gevaarlijke IJS-Golems zich thuis,Hành tinh tuyết là quê hương của các hình nhân băng nguy hiểm
lpsEscapePod,Don't forget to take your belongings from the escape pod,Vergiss nicht deine Ausrüstung aus der Rettungskapsel mitzunehmen,N'oubliez pas de prendre l'équipement dans le module de survie avant de vous éloigner.,Non dimenticare di recuperare il tuo equipaggiamento dalla Capsula di Salvataggio,No olvides coger tus pertenencias de la cápsula de escape,Não se esqueça de tirar os seus pertences da cápsula de saída,Não esqueça de pegar seus pertences da Cápsula de Fuga,Nie zapomnij zabrać przedmiotów z kapsuły ratunkowej,Не забудьте забрать ваши вещи из спасательной капсулы,エスケープポッドに忘れ物はないですか?,不要忘了拿走逃生舱内的随身物品,別忘了拿走逃生艙裡的東西,탈출선에서 소지품을 가져가는 것을 잊지 마십시오.,Kaçış kapsülündeki eşyalarınızı almayı unutmayın,Μην ξεχάσεις να πάρεις τα προσωπικά σου αντικείμενα από το σκάφος διαφυγής,Vergeet niet je bezittingen van de ontsnappingscapsule,Đừng quên lấy đồ đạc của bạn từ kén thoát hiểm
lpsExploreVessel,Use your small vessel for fast exploration,Verwende dein kleines Raumschiff für schnelle Erkundungen,Utilisez votre petit vaisseau pour explorer rapidement,A bordo del tuo Vascello sarai in grado di esplorare i pianeti rapidamente,Usa tu Nave Pequeña para explorar rápidamente,Utilize a sua nave pequena para exploração rápida,Use sua Nave Pequena para explorar rapidamente uma área,Używaj statku kosmicznego do szybkiej eksploracji,Используйте ваше малое судно для быстрой разведки,迅速な探査のためにはSmall Vessel(SV) が必要です。,建造小型舰船可以更快的探索,使用小型飛船進行快速探索,빠른 탐사를 위해 소형 선체를 사용하십시오.,Hızlı keşif için küçük gemi kullanın,Χρησιμοποίησε ένα μικρό όχημα για γρήγορη εξερεύνηση,gebruik je kleine schip voor snelle verkenning,
lpsFancyHome,Build yourself a fancy home,Bau dir ein schönes Zuhause,Bâtissez-vous une chouette maison,Libera la mente e costruisci una base in linea con la tua immaginazione,Construye una casa espectacular en la que vivir,Construa uma casa chique para si,Construa uma casa elegante,Wybuduj sobie gustowny domek,Проявите фантазию при постройке вашего дома,基地の建築はあなた次第です。,随意建造一个奇思妙想的家吧,為自己建一個美麗的家,환상적인 집을 지으십시오.,Kendinize güzel bir ev inşa edin,Φτιάξε στον εαυτό σου ένα φανταστικό σπίτι,Bouw een mooi huis voor jezelf,Xây dựng cho mình một ngôi nhà lạ mắt
lpsFindGoodSpot,Find a good spot for your base,Suche einen guten Platz fuer deine Basis,Trouvez l'endroit idéal pour votre base,Trova un buon punto in cui costruire la tua base,Encuentra un buen lugar para tu base,Encontre um bom espaço para a base,Encontre um bom local para sua base,Znajdź dobre miejsce na bazę,Найдите хорошее место для вашей базы,基地建設のための良い場所を探してください。,找个风水宝地建立基地,為基地挑個好位置,기지를 위한 좋은 자리를 찾으십시오.,Üssünüz için iyi bir yer bulun,Βρες ένα καλό σημείο για την βάση σου,Vind een goede plek voor je huis,Hãy tìm một chỗ tốt cho cơ sở của bạn
lpsForestPlanet,Forest planets are the home of dangerous spiders,Waldplaneten sind die Heimat gefährlicher Spinnen,Les planètes couvertes de forêts hébergent de dangereuses araignées,Nei pianeti ricoperti da ampie foreste si annidano molte specie di ragni pericolosi,Los planetas boscosos son el hogar de peligrosas arañas,Planetas floresta são a morada de perigosas aranhas,Os planetas florestais são o lar de aranhas perigosas,Tropikalne planety są domem niebezpiecznych pajęczaków,Лесные планеты - дом опасных пауков,森の惑星は危険なウッドウォーカーズの棲家です,森林星球是危险的蜘蛛生物的栖息地,森林星球是危險蜘蛛的家園,숲의 행성은 위험한 거미의 고향입니다.,Ormanlı gezegenler tehlikeli örümceklerin evidir,Οι δασικοί πλανήτες είναι το σπίτι των επικίνδυνων αραχνών,Op bosplaneten voelen gevaarlijke spinnen zich thuis,Hành tinh rừng là quê hương của loài nhện nguy hiểm
lpsHelmetAtmo,Take off your helmet in breathable atmospheres to save oxygen,"Nimm den Helm in atembarer Atmosphäre ab, um Sauerstoff zu sparen",Enlevez votre casque si l'atmosphère est respirable pour économiser l'oxygène.,Togliti il casco quando l'atmosfera è respirabile per risparmiare ossigeno,Quítate el casco en atmósferas respirables para ahorrar oxígeno,Tire o capacete em atmosferas respiráveis para poupar oxigénio,Retire seu capacete em atmosferas respiráveis para poupar oxigênio,"Zdejmij hełm na planetach z przyjazną atmosferą, zaoszczędzisz tlen",Снимите шлем в пригодной для дыхания атмосфере чтобы сэкономить кислород,大気中に酸素が含まれているならば、ヘルメットを脱いで酸素を温存しましょう,在可呼吸环境中摘下头盔节省护甲自带氧气,在可呼吸的大氣環境中摘下頭盔節省氧氣,호흡 가능한 환경에서는 헬멧을 벗어서 산소를 아끼십시오.,Oksijen tasarrufu için kaskınızı solunabilen atmosferlerde çıkarın,Βγάλε το κράνος σου σε αναπνεύσιμες ατμόσφαιρες για να κάνεις οικονομία στο οξυγόνο,Je kan je helm af doen in een adembare atmosfeer om zuurstof te besparen,Cởi mũ bảo hiểm của bạn trong môi trường hỗ trợ oxy để lưu trữ oxy trong giáp
lpsHelmetForDiving,For diving you need to wear your helmet,Zum Tauchen musst du deinen Helm tragen,Vous devez porter votre casque pour respirer sous l'eau,Per immergerti sott'acqua devi indossare il casco,Para bucear tienes que ponerte el casco,"Para mergulhar, precisa usar o capacete",Para mergulhar você precisa usar seu capacete,Do nurkowania potrzebujesz mieć założony hełm,"Чтобы плавать под водой, вы должны надеть шлем.",潜水する際にはヘルメットを着用する必要があります,如果玩潜水你最好戴上你的头盔,潛水時需要佩戴頭盔,다이빙을 하려면 헬멧을 착용해야 합니다.,Dalış için kask giymek gerekir,Για καταδύσεις πρέπει να φοράς το κράνος σου,Om te duiken moet je je helm op doen,Bạn cần đội mũ bảo hiểm để có thể lặn
lpsHoverVessel,Hover vessels can serve as heavy combat tanks,Bodengleiter können als schwere Kampfpanzer dienen,Les Hovers peuvent servir de chars d'assaut lourds.,Gli Hovercraft possono fungere da pesanti carri da combattimento,Las Naves de Levitación pueden servir como tanques de combate pesados,Naves flutuantes podem servir de pesados depósitos de combate,Planadores podem servir de tanques de combate pesado,Ślizgacze mogą także służyć jako ciężkie pojazdy bojowe,Парящие суда могут служить как тяжелые боевые танки.,ホバーは重戦車として使用できます,你可以把悬浮飞船看作是一辆重型战术坦克,懸浮飛船也可作為重型戰鬥坦克使用,호버 선체는 중무장 탱크 역할을 할 수 있습니다.,Hava Aracı ağır saldırı tankları olarak hizmet verebilir,Τα σκάφη Hover μπορούν να χρησιμεύσουν ως βαριά άρματα μάχης,Zweef schepen kunnen gebruikt worden als zware tanks,Tàu phản hấp dẫn có thể phục vụ như một xe tăng hạng nặng
lpsLootPOI,Be sure to search for valuable loot in POIs,Vergiss nicht nach wertvoller Beute in POIs zu suchen,N'hésitez pas à piller les POIs de leurs richesses.,"Assicurati di setacciare con cura tutti i PDI, potrebbero nascondere del bottino prezioso",Asegúrate de buscar botines valiosos en los PDI,Certifique-se de que procura bens valiosos nos PDI,Tenha certeza de procurar por itens valiosos em PDIs,"Pamiętaj, aby przeszukać POI dla cennych łupów","Будьте уверены, в ТИ вы найдете много ценного.",放棄ステーションや墜落船を探索して貴重なアイテムを収集しよう。,兴趣点建筑中有些贵重物品是极其隐秘的,一定要注意搜索有價值地點內的貴重物品,POI에서 중요한 전리품을 검색하십시오.,POI'lerde değerli ganimetler aramayı unutmayın,Φρόντισε να ψάξεις για πολύτιμη λεία στα Σημεία Ενδιαφέροντος,Zoek naar waardevolle buit in POI's,
lpsMechanoid,Mechanoid robots can be deadly opponents,Mechanoide Roboter sind oft tödliche Gegner,Les MÉCHA de combat peuvent être des adversaires mortels,I Meccanoidi possono dimostrarsi avversari letali,Los robots mecanoides pueden ser oponentes mortales,Robôs mecanoides podem ser opositores mortíferos,Os robôs mecanóides podem ser oponentes mortais,Bojowe Mechanoidy mogą być śmiercionośnymi przeciwnikami,Механоиды могут быть смертельными противниками,メカノイドは脅威的な存在です。,武装机械人一定是你致命的对手,機械人是非常致命的對手,기계식 로봇은 치명적인 상대가 될 수 있습니다.,Mekanik robotlar ölümcül rakipler olabilir,Τα Μηχανικά Ρομπότ μπορούν να είναι θανάσιμοι αντίπαλοι,Mechanoid robots kunnen dodelijke tegenstanders zijn,Robot cơ học có thể là đối thủ nguy hiểm
lpsMotorbike,Your motorbike is useful for fast exploration,Verwende dein Motorrad für schnelle Erkundungen,La moto est pratique pour explorer rapidement une planète.,La moto è utile per effettuare rapide ricognizioni,Tu moto es útil para explorar rápidamente,A sua mota é útil para exploração rápida,Sua moto é útil para uma exploração rápida,Twój motocykl jest przydatny do szybkiego odkrywania,Ваш мотоцикл полезен для быстрой разведки.,バイクは迅速な探査を可能にする。,初期的摩托车可以让你更快的探索,你的機車很適合快速探索,오토바이는 빠른 탐사에 유용합니다.,Motosiklet hızlı keşif için yararlıdır,Η μοτοσικλέτα σου είναι χρήσιμη για γρήγορες εξερευνήσεις,Je motorfiets is handig voor snelle verkenning,
lpsNightVision,Use your night vision goggles to see the enemy before he sees you,Verwende dein Nachtsichtgerät um deinen Feind zu sehen bevor er dich sieht,Utilisez votre vision nocturne pour voir l'ennemi avant qu'il ne vous voit,Utilizza il visore notturno per avvistare i nemici prima che siano loro a farlo,Usa tus gafas de visión nocturna para ver a tu enemigo antes de que el te vea a ti,Utilize os seus óculos de visão noturna para ver o inimigo antes de ele o ver a si,Use seus óculos de visão noturna para ver o inimigo antes que ele o veja,"Użyj noktowizora, aby zobaczyć wroga, zanim on zobaczy Ciebie","Используйте очки ночного видения, чтобы увидеть врага, прежде чем он увидит вас",暗視ゴーグルで敵に見つかる前に見つけろ。,灵活运用夜视仪先敌发现对方,使用夜視鏡提前發現敵人,적에게 발각되기 전에 이들을 감시하는 야시경을 사용하십시오.,O sizi görmeden önce düşmanı görmek için gece görüş gözlüğü kullanın,Χρησιμοποίησε τα γυαλιά νυχτερινής όρασης για να δεις τον εχθρό πριν σε δει αυτός,Gebruik je nachtkijker om je tegenstander te zien voor hij jou ziet,Sử dụng kính nhìn ban đem của bạn để nhìn thấy đối phương trước khi họ nhìn thấy bạn
lpsNonHostileCreatures,Not all creatures are hostile,Nicht alle Kreaturen sind feindlich,Toutes les créatures ne sont pas hostiles,Non tutte le creature sono ostili,No todas las criaturas son hostiles,Nem todas as criaturas são hostis,Nem todas as criaturas são hostis,Nie wszystkie stworzenia są wrogo nastawione,Не все существа враждебны,生命体が全て敵対的というわけではありません,也不是所有生物都主动攻击,並非所有的生物都抱有敵意,모든 생물이 사나운 것은 아닙니다.,Tüm yaratıklar düşman değildir,Δεν είναι όλα τα πλάσματα εχθρικά,Niet alle wezens zijn vijandig,Không phải tất cả sinh vật đều là thù địch
lpsOrbitalStation,Visit interesting orbital stations,Besuche interessante Weltraumstationen,Visitez les stations orbitales intéressantes,"Fai visita alle stazioni orbitali sparse per l'universo, sono luoghi interessanti",Visita interesantes estaciones orbitales,Visite estações orbitais interessantes,Visitar estações orbitais pode ser interessante,Odwiedź ciekawe stacje kosmiczne,Посетите интересные орбитальные станции,トレードステーションを積極的に利用しよう。,在有趣的轨道空间站游览一番,存取有價值的軌道站,흥미로운 궤도 스테이션 방문,İlginç Yörünge İstasyonlarını ziyaret edin,Επισκέψου τους ενδιαφέρον σταθμούς που είναι σε τροχιά,Bezoek interessante orbital stations,
lpsOutside,"Before you venture outside, make sure that the coast is clear","Bevor du raus gehst, solltest du sicher gehen dass die Luft rein ist","Avant de vous jeter dans l'aventure, vérifiez que la voie est libre.","Prima di avventurarti all'esterno, assicurati che non vi siano pericoli","Antes de aventurarte fuera, asegúrate de que no hay moros en la costa","Antes de se aventurar a sair, certifique-se de que a costa está livre","Antes de se aventurar, certifique-se de que as costas estão livres","Przed wyjściem upewnij się, że droga jest wolna",Перед тем как выходить наружу - убедитесь что там безопасно,外に出る前に、マップで位置を確認しておきましょう。,在出外冒险之前，请确保家周围安全,在你外出冒險之前，一定要確保海岸是安全的,밖으로 모험을 떠나기 전 위험이 없는지 확인하십시오.,Dışarıda maceraya atılmadan önce tehlike olmadığından emin olun,"Πριν πας έξω, βεβαιώσου ότι η ακτή είναι καθαρή","Zorg ervoor dat de kust veilig is, voordat je naar buiten gaat",
lpsOverseers,Alien bugs can spread dangerous diseases,Alien Käfer verbreiten gefährliche Krankheiten,Les punaises Alien transmettent des maladies mortelles,Gli insetti alieni possono diffondere malattie pericolose,Los bichos alienígenas pueden contagiar peligrosas enfermedades,Percevejos alien pode espalhar doenças perigosas,Ervas alienígenas podem espalhar doenças perigosas,Egzotyczne robaki mogą rozprzestrzeniać niebezpieczne choroby,Инопланетные насекомые могут распространять опасные болезни,エイリアンバグは危険な病気を媒介します,外星昆虫会传染致命的疾病,外星臭蟲可以傳播危險疾病,외계 해충이 위험한 질병을 퍼뜨릴 수 있습니다.,Uzaylı böcekler tehlikeli hastalıklar yayılabilir,Τα εξωγήινα έντομα μπορούν να εξαπλώσουν επικίνδυνες ασθένειες,Buitenaardse insecten kunnen gevaarlijke ziektes verspreiden,Bọ Alien có thể lây lan bệnh dịch nguy hiểm
lpsOxygenSupply,Always be sure to have enough oxygen supply,Sorge immer für genügend Sauerstoffvorrat,Emportez avec vous suffisamment d'oxygène.,Assicurarti sempre di avere una sufficiente riserva di ossigeno!,Asegúrate siempre de tener suficiente suministro de oxígeno,Certifique de que tem sempre oxigénio em quantidade suficiente,Assegure-se de sempre ter suprimentos de oxigênio suficiente,"Zawsze upewnij się, że masz wystarczającą ilość tlenu",Убедитесь что имеете достаточные запасы кислорода,常に十分な酸素供給態勢を整えましょう。,时刻确保拥有充足的氧气供应,一定要保證隨時有充足的氧氣補給,항상 산소 공급이 충분한지 확인하십시오.,Her zaman yeterli oksijen kaynağınız olduğundan emin olun,Πάντα να είσαι σίγουρος ότι έχεις αρκετό απόθεμα οξυγόνου,Zorg er altijd voor dat je voldoende zuurstof voorraad hebt,Luôn luôn chắc chắn có đủ oxy cung cấp
